Platform,Subscription Price (INR/Month),Monthly Active Users (Millions),Language Support,Content Type,Video Quality,Rating
Netflix,649,15.2,Multi-language,Movies & TV,4K,4.8
Amazon Prime Video,299,28.5,Multi-language,Movies & TV,4K,4.7
JioHotstar,149,120.0,Multi-language,"Movies, TV & Sports",4K,4.6
Sony LIV,299,18.1,Multi-language,Sports & TV,4K,4.4
ZEE5,199,16.0,Multi-language,Movies & TV,4K,4.3
MX Player,0,30.0,"Hindi, English",Free Movies & TV,HD,4.1
Apple TV+,99,3.5,"English, Hindi",Original Series,4K,4.6
Sun NXT,99,8.2,South Indian Languages,Regional Content,Full HD,4.3
Aha,149,6.1,"Telugu, Tamil",Regional Content,Full HD,4.4
Hoichoi,899,2.2,Bengali,Regional Content,Full HD,4.5
Addatimes,99,1.1,Bengali,Regional Content,HD,4.0
Chaupal,99,1.8,"Punjabi, Haryanvi",Regional Content,HD,4.2
Planet Marathi OTT,99,0.6,Marathi,Regional Content,HD,4.1
ShemarooMe,129,3.2,"Hindi, Gujarati",Movies & Devotional,Full HD,4.0
Discovery+,199,4.3,Multi-language,Documentaries,Full HD,4.4
DocuBay,99,0.4,English,Documentaries,Full HD,4.2
MUBI,499,0.7,English,Classic & Indie Films,4K,4.7
Curiosity Stream,299,0.5,English,Educational,4K,4.5
Epic On,59,0.9,"Hindi, English",Infotainment,HD,3.9
Stage,199,2.5,"Haryanvi, Rajasthani",Regional Content,Full HD,4.3
ManoramaMAX,99,2.0,Malayalam,Regional Content,Full HD,4.4
NammaFlix,149,0.3,Kannada,Regional Content,HD,3.8
Simply South,199,0.8,South Indian Languages,Regional Movies,Full HD,4.2
Klikk,99,0.4,Bengali,Regional Content,HD,3.9
FanCode,249,6.5,"English, Hindi",Sports,Full HD,4.5
Hungama Play,149,2.7,"Hindi, English",Movies & Music,HD,4.0
ALTT,199,1.5,Hindi,Original Series,Full HD,3.7
ShortsTV,99,0.2,English,Short Films,HD,4.1
Lionsgate Play,699,2.1,"English, Hindi",Hollywood Movies,4K,4.3
Eros Now,49,5.0,Hindi,Movies,HD,4.0
